Title,Meta,URL,Relevant
Less than 2 weeks to enter Campaign Brief’s The Work 2025: Free to enter – Deadline May 20th,,https://campaignbriefasia.com/2025/05/12/less-than-2-weeks-to-enter-campaign-briefs-the-work-2025-free-to-enter-deadline-may-20th/,Yes
1880 celebrates expansion to HK with brand campaign and tram wrap,,https://www.marketing-interactive.com/1880-celebrates-expansion-to-hk-with-brand-campaign-and-tram-wrap,Yes
Mubashir partners with Al Mouj Muscat to expand outdoor ad opportunities,,https://campaignme.com/mubashir-partners-with-al-mouj-muscat-to-expand-outdoor-ad-opportunities/,No
"CTV’s growing pains: Big spend, bigger blind spots",,https://www.campaignindia.in/article/ctvs-growing-pains-big-spend-bigger-blind-spots/502396,Yes
Sales up 362%: The EV media campaign that cut through,,https://www.adnews.com.au/news/sales-up-362-the-ev-media-campaign-that-cut-through,Yes
Campaign Best Places to Work 2019-25: the ever-present agencies,,http://www.marketingmagazine.co.uk/article/campaign-best-places-work-2019-25-ever-present-agencies/1917392,Yes
"Becoming the Role Model You Never Had, with Christine Smith",,https://www.creativeboom.com/podcast/christine-smith/,No
Creative Writers: Pittsfield Township Community Center,,https://annarborobserver.com/mc-events/creative-writers-pittsfield-township-community-center-15/?mc_id=48116,No
"‘Revive’: A passionate, creative take on Art2Wear",,https://www.technicianonline.com/culture/revive-a-passionate-creative-take-on-art2wear/article_cfa1368f-1d8c-4065-a336-63366648aed7.html,No
15 brilliant resources to support your mental health at work,,https://www.creativeboom.com/resources/15-brilliant-resources-to-support-your-mental-health-at-work/,No
Rockford business celebrates Mother’s Day with creativity,,https://www.wifr.com/2025/05/12/rockford-business-celebrates-mothers-day-with-creativity/,No
Creative Discovery Museum celebrates 30th anniversary,,https://www.timesfreepress.com/photos/galleries/2025/may/11/creative-discovery-museum-celebrates-30th-anniversary/,No
The Creative Blend: Coffee & Conversation with Tamika Jamison (2025-05-17),,https://westseattleblog.com/event/the-creative-blend-coffee-conversation-with-tamika-jamison/,No
Jacksonville Home and Garden Show wraps up with creative ideas for Mother’s Day,,https://www.news4jax.com/news/local/2025/05/11/jacksonville-home-and-garden-show-wraps-up-with-creative-ideas-for-mothers-day/,No
'A hub for Utah's greater creative community': Zion Canyon Mesa expands,,https://www.stgeorgeutah.com/news/a-hub-for-utahs-greater-creative-community-zion-canyon-mesa-expands/article_6b65e268-cf81-4661-93f7-9b2c57d54d10.html,No
